data,model,emsize,nhid,nlayers,lr,clip,epochs,dropout,seed,cuda,log_interval,save,summary,condition,run,ignore_speaker,epoch,train_loss,val_loss,val_acc,val_prec,val_recall,val_f,epoch_time
data/seame,LSTM,500,32,1,20,5,40,0.2,0,True,5,results/hyperparameter/0-0.pt,results/hyperparameter/summary.txt,0,0,True,1,38.41534298047041,41.10668182373047,0.467105818765307,0,0,0,10.844526529312134
data/seame,LSTM,500,32,1,20,5,40,0.2,0,True,5,results/hyperparameter/0-0.pt,results/hyperparameter/summary.txt,0,0,True,2,56.62782518680279,145.54742431640625,0.6816140916417223,0.6816140916417223,1.0,0.8106664840995447,10.627669334411621
data/seame,LSTM,500,32,1,20,5,40,0.2,0,True,5,results/hyperparameter/0-0.pt,results/hyperparameter/summary.txt,0,0,True,3,57.26896727543611,36.08211898803711,0.467105818765307,0,0,0,10.628090143203735
data/seame,LSTM,500,32,1,20,5,40,0.2,0,True,5,results/hyperparameter/0-0.pt,results/hyperparameter/summary.txt,0,0,True,4,38.04132584425119,32.03059387207031,0.467105818765307,0,0,0,10.63062596321106
data/seame,LSTM,500,32,1,20,5,40,0.2,0,True,5,results/hyperparameter/0-0.pt,results/hyperparameter/summary.txt,0,0,True,5,35.986775058966415,12.29942512512207,0.6794597614781419,0.6815274240273754,0.9927216086094591,0.8082035438018054,10.599130153656006
data/seame,LSTM,500,32,1,20,5,40,0.2,0,True,5,results/hyperparameter/0-0.pt,results/hyperparameter/summary.txt,0,0,True,6,45.96158523437305,67.54149627685547,0.6816271706802264,0.6816210615189776,1.0,0.8106714135743301,10.577060461044312
data/seame,LSTM,500,32,1,20,5,40,0.2,0,True,5,results/hyperparameter/0-0.pt,results/hyperparameter/summary.txt,0,0,True,7,44.73082433602749,56.06812286376953,0.6815320847405588,0.681599201550834,0.9998029223795715,0.8105911892262042,10.573236465454102
data/seame,LSTM,500,32,1,20,5,40,0.2,0,True,5,results/hyperparameter/0-0.pt,results/hyperparameter/summary.txt,0,0,True,8,40.895522557772125,41.06494903564453,0.6826507789603579,0.682662057715462,0.9966544753480197,0.8103036938857834,10.576561689376831
data/seame,LSTM,500,32,1,20,5,40,0.2,0,True,5,results/hyperparameter/0-0.pt,results/hyperparameter/summary.txt,0,0,True,9,37.81964159317506,93.22660827636719,0.6817126297810275,0.6816707296005529,0.9999718420904432,0.8106972868703703,10.594611644744873
data/seame,LSTM,500,32,1,20,5,40,0.2,0,True,5,results/hyperparameter/0-0.pt,results/hyperparameter/summary.txt,0,0,True,10,32.3792499097494,37.069618225097656,0.46684670998959127,0.52,0.0013717421124828531,0.0027362660492527887,10.580471277236938
data/seame,LSTM,500,32,1,20,5,40,0.2,0,True,5,results/hyperparameter/0-0.pt,results/hyperparameter/summary.txt,0,0,True,11,38.50387100073007,74.36962890625,0.6817257129697156,0.6816777041942604,0.999971841297553,0.810702218975436,10.661329984664917
data/seame,LSTM,500,32,1,20,5,40,0.2,0,True,5,results/hyperparameter/0-0.pt,results/hyperparameter/summary.txt,0,0,True,12,27.670655091603596,13.936209678649902,0.4741309507189725,0.6995884773662552,0.035376131515971285,0.06734673665445182,10.632278203964233
data/seame,LSTM,500,32,1,20,5,40,0.2,0,True,5,results/hyperparameter/0-0.pt,results/hyperparameter/summary.txt,0,0,True,13,30.761705747017494,33.12149429321289,0.6829357586034144,0.6826550387596899,0.9977340320067979,0.8106553132731144,10.786381244659424
data/seame,LSTM,500,32,1,20,5,40,0.2,0,True,5,results/hyperparameter/0-0.pt,results/hyperparameter/summary.txt,0,0,True,14,39.50011763817225,20.287914276123047,0.683237508953288,0.6834546489042359,0.9934690851015286,0.8098055397347529,10.601311206817627
data/seame,LSTM,500,32,1,20,5,40,0.2,0,True,5,results/hyperparameter/0-0.pt,results/hyperparameter/summary.txt,0,0,True,15,36.74401814509661,68.97630310058594,0.6817457727961922,0.6816925203501766,0.9999436778372289,0.8107034407178246,10.595410346984863
