data,model,emsize,nhid,nlayers,lr,clip,epochs,dropout,seed,cuda,log_interval,save,summary,condition,run,ignore_speaker,full_context,epoch,train_loss,val_loss,val_acc,val_prec,val_recall,val_f,epoch_time
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,1,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,31.526548147201538
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,2,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.807530879974365
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,3,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.76567769050598
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,4,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.805171966552734
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,5,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.761085271835327
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,6,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.778396606445312
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,7,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.83133840560913
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,8,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.7735538482666
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,9,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.792876720428467
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,10,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.780017614364624
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,11,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.831645965576172
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,12,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.80545663833618
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,13,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.86134648323059
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,14,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.865718603134155
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,15,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.847259998321533
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,16,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.84274125099182
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,17,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.872241973876953
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,18,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.839640617370605
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,19,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.816744089126587
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,20,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.841630458831787
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,21,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.786197423934937
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,22,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.822970390319824
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,23,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.80133605003357
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,24,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.838719844818115
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,25,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.815189599990845
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,26,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.820095539093018
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,27,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.7842857837677
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,28,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.804013967514038
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,29,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.801470279693604
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,30,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.76641845703125
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,31,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.762662649154663
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,32,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.782727241516113
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,33,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.773529767990112
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,34,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.807964086532593
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,35,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.774242877960205
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,36,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.793068885803223
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,37,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.7865891456604
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,38,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.817195653915405
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,39,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.766353607177734
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,0,True,5,results/rnns/0-0.pt,results/rnns/summary.txt,0,0,False,True,40,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.79641056060791
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,1,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.704923629760742
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,2,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.688055753707886
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,3,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.696951389312744
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,4,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.689766883850098
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,5,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.61782717704773
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,6,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.612531423568726
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,7,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.62798237800598
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,8,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.631680727005005
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,9,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.625144243240356
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,10,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.621150255203247
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,11,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.61170220375061
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,12,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.600011348724365
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,13,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.61935567855835
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,14,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.605635166168213
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,15,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.616514921188354
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,16,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.628601551055908
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,17,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.616993188858032
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,18,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.6355562210083
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,19,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.659711837768555
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,20,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.631266117095947
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,21,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.637833833694458
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,22,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.61577272415161
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,23,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.631617784500122
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,24,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.654089212417603
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,25,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.621647357940674
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,26,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.607221841812134
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,27,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.63650870323181
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,28,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.63923144340515
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,29,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.66841769218445
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,30,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.61901831626892
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,31,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.673752784729004
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,32,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.702077865600586
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,33,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.623055934906006
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,34,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.665925979614258
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,35,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.62997555732727
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,36,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.657557487487793
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,37,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.639151573181152
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,38,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.643192052841187
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,39,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.67935848236084
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,1,True,5,results/rnns/0-1.pt,results/rnns/summary.txt,0,1,False,True,40,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.661797046661377
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,1,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.643659830093384
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,2,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.631989240646362
